company_id,name,device_type
004C,Apple,phone
0075,Samsung,phone
00E0,Google,phone
038F,Xiaomi,phone
0010,Motorola,phone
0101,Huawei,phone
00DA,OPPO,phone
02E5,OnePlus,phone
0652,Realme,phone
001A,Nokia,phone
065A,Nothing,phone
0131,LG,phone
028E,ZTE,phone
0006,Microsoft,computer
0002,Intel,computer
000A,Qualcomm,computer
030B,Lenovo,laptop
0209,Dell,laptop
009E,Bose,audio
012D,Sony,audio
0087,Jabra,audio
000F,Broadcom,audio
0056,Harman,speaker
057B,JBL,speaker
02B6,Sennheiser,audio
0106,Plantronics,audio
04DA,Skullcandy,audio
0397,Sonos,speaker
0172,Beats,audio
0310,Bang & Olufsen,speaker
0100,Garmin,watch
02FF,Fitbit,watch
018B,Polar,watch
0154,Suunto,watch
065B,Whoop,wearable
0486,Oura,wearable
0171,Amazon,smart
0822,Tile,smart
0011,Philips,smart
028A,IKEA,smart
0362,SwitchBot,smart
060A,Govee,smart
0047,Ecobee,smart
0488,Roku,tv
0057,Nintendo,gaming
02A5,Valve,gaming
01A2,Razer,gaming
0207,SteelSeries,gaming
0046,Logitech,gaming
0128,GoPro,camera
018D,DJI,camera
000D,Texas Instruments,unknown
0059,Nordic Semi,unknown
005D,Realtek,unknown
004E,MediaTek,unknown
0031,Cypress,unknown
03DA,Espressif,smart
0135,Dialog Semi,unknown
