model_id,name
000047,Pixel Buds
00006B,Pixel Buds A-Series
0000C0,Pixel Buds Pro
0000F0,Pixel Buds Pro 2
0000A8,Galaxy Buds Live
000108,Galaxy Buds Pro
000180,Galaxy Buds2
000201,Galaxy Buds2 Pro
0002D0,Galaxy Buds FE
000350,Galaxy Buds3
000351,Galaxy Buds3 Pro
0000D8,Sony WF-1000XM4
000228,Sony WF-1000XM5
0000C8,Sony WH-1000XM4
000238,Sony WH-1000XM5
0000E8,Sony LinkBuds
000178,Sony LinkBuds S
00009C,JBL Live Pro+
0000B8,JBL Reflect Flow Pro
0000F8,JBL Tune 230NC
000158,JBL Live Pro 2
0001A0,JBL Tour Pro 2
000098,Beats Fit Pro
0001C0,Beats Studio Buds+
000120,Nothing Ear (1)
0001F0,Nothing Ear (2)
000220,Nothing Ear (stick)
0000A0,Bose QC Earbuds
000190,Bose QC Earbuds II
0000D0,Bose NC 700
000250,Bose QC Ultra Earbuds
0001B0,OnePlus Buds Pro 2
0001D0,Jabra Elite 85t
000168,Anker Soundcore Liberty 4
0000E0,Sennheiser Momentum TW3
000280,Xiaomi Buds 4 Pro
